가수명,곡명,음원순위,초동음반,뮤비조회,스포티파이 월간청취자 수 (만명),소속 그룹,활동상태
김종현 ,MOTTO,1000위 밖,19359장,149만회 (3주차),0.0,뉴이스트,
남우현 ,Only 직진,1000위 밖,44700장,113만 (3주차),3.0,인피니트,
용준형 ,TOMORROW,1000위 밖,11300장,4만회 (3주차),3.0,하이라이트,
라비 ,유행지난춤,1000위 밖,10100장 ,136만 (3주차),4.0,VIXX,
혁 ,겨울나비,323,7500장,45만 (3주차),1.0,VIXX,
김동준 ,나 혼자,116,???,5만 (3주차),0.0,제국의아이들,
사무엘 ,TEENAGER,427,4000장,193만 (3주차),3.0,원펀치,
루카스 ,Renegade,1000위 밖,19928장,217만회 (3주차),4.0,NCT,
키노, DIRTY BOY,1000위 밖,12100장,123만 (3주차),4.0,펜타곤,
재찬 ,Poster Boy,1000위 밖,71900장,4만 (3주차),0.0,DKZ,
송윤형 ,콜이야,1000위밖,5500장,71만회 (3주차),0.0,아이콘,
윤지성 ,bloom,1000위 밖,9700장,149만 (3주차),5.0,워너원,
장한음 ,WANNA,1000위 밖,61700장,20만 (3주차),4.0,,
정세운 ,Love in the Margins,1000위 밖,3500장,2.5만 (3주차),37.0,,
권현빈 ,달을 사랑해,767,4100장,233만 (3주차),0.0,JBJ,
이승훈 ,딱 내스타일이야,1000위 밖,13980장,103만 (3주차),0.0,위너,
이준영 ,Bounce,1000위 밖,18400장,81만 (3주차),5.0,유키스,
라키 ,JEALOUSY,1000위 밖,5150장,22만 (3주차),3.0,아스트로,
한승우 ,STOP IT,1000위밖,3500장,4.3만 (3주차),2.0,"빅톤, 엑스원",
김현중 ,담벼락,1000위 밖,1300장,127만,11.0,SS501,
니엘 ,California,1000위 밖,2360장,1만 (3주차),1.0,틴탑,
휘영 ,IT IS LOVE,1000위 밖,11700장,13만 (3주차),0.0,SF9,
문종업, TWIST YA,1000위 밖,18700장,9.1만 (3주차),1.0,B.A.P,
우진영 ,delicious,1000위 밖,???,222만 (3주차),0.0,디원스,
켄 ,시나브로,1000위 밖,10500장,1.7만 (3주차),5.0,빅스,
영재 ,T.P.O,1000위 밖,5780장,43만 (3주차),7.0,갓세븐,
